Country,Life_Expectancy,Mean_Years_Schooling,Expected_Years_Schooling,GNI_per_capita,HDI
Norway,83.2,13.0,18.1,66000,0.961
Switzerland,84.0,13.9,16.5,69600,0.962
Ireland,82.3,12.7,18.9,76200,0.950
Germany,81.3,14.2,17.0,54500,0.942
Australia,83.3,12.7,21.1,49900,0.951
Iceland,83.1,13.8,19.2,55000,0.959
Singapore,83.9,11.9,16.5,90900,0.949
United States,77.2,13.7,16.3,64800,0.921
Japan,84.8,13.4,15.2,42900,0.925
United Kingdom,81.3,13.4,17.3,45200,0.929
Canada,82.7,13.4,16.3,46200,0.935
France,82.7,11.6,16.0,47200,0.910
South Korea,83.7,12.5,16.5,44500,0.925
Poland,78.7,12.8,16.8,33800,0.876
Chile,80.7,10.9,16.5,23000,0.860
Argentina,76.7,11.1,17.7,20900,0.849
Turkey,77.7,8.1,17.6,28400,0.855
Malaysia,76.2,10.6,13.7,26400,0.807
Mexico,70.2,9.2,14.7,18700,0.781
Brazil,72.8,8.1,15.6,14300,0.760
China,78.6,8.1,14.2,17200,0.788
Thailand,79.3,8.7,15.0,17300,0.803
Sri Lanka,77.0,10.8,14.1,13700,0.782
Indonesia,68.0,8.6,13.7,11500,0.713
Philippines,69.3,9.3,13.2,9500,0.699
Vietnam,73.6,8.6,12.9,10000,0.703
Egypt,70.9,7.4,13.3,12700,0.731
South Africa,62.3,10.2,13.6,13800,0.713
India,67.7,6.7,12.0,6600,0.633
Bangladesh,72.4,6.2,12.0,5700,0.661
Kenya,66.7,6.6,11.9,4500,0.601
Ghana,64.1,7.3,11.8,5700,0.632
Pakistan,66.1,4.5,8.3,4600,0.540
Nigeria,55.4,7.2,10.1,4800,0.548
Myanmar,66.9,5.0,10.0,4300,0.583
Cambodia,69.8,5.0,11.2,4200,0.593
Ethiopia,66.6,3.0,8.8,2200,0.498
Haiti,64.9,5.6,9.4,2800,0.552
Afghanistan,62.0,3.9,10.3,1700,0.478
Niger,62.4,2.1,6.5,1200,0.400
Chad,53.3,2.6,7.6,1500,0.394
Mali,59.3,2.4,7.4,2100,0.428
South Sudan,55.7,5.5,5.4,900,0.385
Central African Republic,53.8,4.3,7.6,900,0.404
Burundi,62.1,3.4,11.4,700,0.426
Sierra Leone,60.7,3.9,10.2,1600,0.477
Mozambique,59.3,3.5,9.7,1300,0.446
Yemen,63.8,3.2,9.0,1500,0.424
Sudan,65.3,3.8,7.6,3800,0.508
Nepal,70.8,5.1,12.9,4000,0.601
Bolivia,71.5,9.2,14.3,8300,0.703
